epoch,acc,loss,lr,val_acc,val_loss
0,0.311662513427,5.150157582,0.01,0.323814002003,5.14252307659
1,0.400332958869,4.7595246664,0.01,0.422449366428,4.62769092599
2,0.473185034664,4.27315764515,0.01,0.498411244791,4.206430427
3,0.531014214058,3.98865220758,0.01,0.552161738449,3.90003817252
4,0.576624680315,3.7413946425,0.01,0.590985639155,3.64290814407
5,0.599803039235,3.72634465585,0.01,0.610555042095,3.96870175635
6,0.620622383894,3.89725197535,0.01,0.641061664769,3.76593662575
7,0.649839342166,3.72646805855,0.01,0.671504634967,3.53509660253
8,0.672666017906,3.58568520283,0.01,0.689572293129,3.39985440032
9,0.694701770422,3.32057902427,0.01,0.711174673699,3.15839351861
10,0.712660034507,3.37641154623,0.01,0.728228731285,3.2035511301
11,0.729820307654,3.18637543159,0.01,0.744035151699,2.8681463999
12,0.743646095342,2.93004708799,0.01,0.758460744011,2.76083063837
13,0.754509655265,2.86613998096,0.01,0.770569887379,2.65964031559
14,0.765636467276,2.76902158659,0.01,0.78085863737,2.54826595431
15,0.776126566536,2.64301018085,0.01,0.792092790823,2.41912805702
16,0.787035736096,2.5583755274,0.01,0.797358195281,2.46544425633
17,0.79372946424,2.57370965471,0.01,0.803707850304,2.52154102401
18,0.803577837118,2.495564004,0.01,0.813504180347,2.36597483393
19,0.812525476775,2.34442786685,0.01,0.825130338245,2.10383791161
20,0.8207441121,2.17187105988,0.01,0.831620328871,2.10964747481
21,0.827995107027,2.05733524392,0.01,0.838916005173,1.90394944497
22,0.833295297546,1.98896685275,0.01,0.842698257805,1.8726156146
23,0.839301312034,1.92229785291,0.01,0.848625042095,1.80330427898
24,0.844138801526,1.85108772605,0.01,0.852469255796,1.75474919685
25,0.849278210456,1.77801406207,0.01,0.856424185666,1.69875533006
